"Ensembl ID","Gene symbol","RBP type","No. RBPome"
"ENSG00000063244","U2AF2","Canonical_RBPs","38"
"ENSG00000165732","DDX21","Canonical_RBPs","37"
"ENSG00000109606","DHX15","Canonical_RBPs","37"
"ENSG00000115053","NCL","Canonical_RBPs","37"
"ENSG00000169564","PCBP1","Canonical_RBPs","37"
"ENSG00000131051","RBM39","Canonical_RBPs","37"
"ENSG00000162613","FUBP1","Canonical_RBPs","36"
"ENSG00000169813","HNRNPF","Canonical_RBPs","36"
"ENSG00000197111","PCBP2","Canonical_RBPs","36"
"ENSG00000124193","SRSF6","Canonical_RBPs","36"
"ENSG00000169045","HNRNPH1","Canonical_RBPs","35"
"ENSG00000147274","RBMX","Canonical_RBPs","35"
"ENSG00000197157","SND1","Canonical_RBPs","35"
"ENSG00000151923","TIAL1","Canonical_RBPs","35"
"ENSG00000065978","YBX1","Canonical_RBPs","35"
"ENSG00000167658","EEF2","Canonical_RBPs","34"
"ENSG00000132463","GRSF1","Canonical_RBPs","34"
"ENSG00000181163","NPM1","Canonical_RBPs","34"
"ENSG00000115524","SF3B1","Canonical_RBPs","34"
"ENSG00000136450","SRSF1","Canonical_RBPs","34"
"ENSG00000270647","TAF15","Canonical_RBPs","34"
"ENSG00000149532","CPSF7","Canonical_RBPs","33"
"ENSG00000088205","DDX18","Canonical_RBPs","33"
"ENSG00000145907","G3BP1","Canonical_RBPs","33"
"ENSG00000152795","HNRNPDL","Canonical_RBPs","33"
"ENSG00000037474","NSUN2","Canonical_RBPs","33"
"ENSG00000174444","RPL4","Canonical_RBPs","33"
"ENSG00000168066","SF1","Canonical_RBPs","33"
"ENSG00000167978","SRRM2","Canonical_RBPs","33"
"ENSG00000005007","UPF1","Canonical_RBPs","33"
"ENSG00000160710","ADAR","Canonical_RBPs","32"
"ENSG00000009307","CSDE1","Canonical_RBPs","32"
"ENSG00000101811","CSTF2","Canonical_RBPs","32"
"ENSG00000071626","DAZAP1","Canonical_RBPs","32"
"ENSG00000182944","EWSR1","Canonical_RBPs","32"
"ENSG00000114416","FXR1","Canonical_RBPs","32"
"ENSG00000138095","LRPPRC","Canonical_RBPs","32"
"ENSG00000100836","PABPN1","Canonical_RBPs","32"
"ENSG00000100029","PES1","Canonical_RBPs","32"
"ENSG00000253729","PRKDC","Non-canonical_RBPs","32"
"ENSG00000182872","RBM10","Canonical_RBPs","32"
"ENSG00000100316","RPL3","Canonical_RBPs","32"
"ENSG00000148303","RPL7A","Canonical_RBPs","32"
"ENSG00000149273","RPS3","Canonical_RBPs","32"
"ENSG00000142937","RPS8","Canonical_RBPs","32"
"ENSG00000171490","RSL1D1","Canonical_RBPs","32"
"ENSG00000143368","SF3B4","Canonical_RBPs","32"
"ENSG00000204574","ABCF1","Non-canonical_RBPs","31"
"ENSG00000149187","CELF1","Canonical_RBPs","31"
"ENSG00000215301","DDX3X","Canonical_RBPs","31"
"ENSG00000107581","EIF3A","Non-canonical_RBPs","31"
"ENSG00000161960","EIF4A1","Canonical_RBPs","31"
"ENSG00000063046","EIF4B","Canonical_RBPs","31"
"ENSG00000155506","LARP1","Canonical_RBPs","31"
"ENSG00000161813","LARP4","Canonical_RBPs","31"
"ENSG00000155363","MOV10","Canonical_RBPs","31"
"ENSG00000070756","PABPC1","Canonical_RBPs","31"
"ENSG00000090621","PABPC4","Canonical_RBPs","31"
"ENSG00000117523","PRRC2C","Non-canonical_RBPs","31"
"ENSG00000119314","PTBP3","Canonical_RBPs","31"
"ENSG00000204628","RACK1","Non-canonical_RBPs","31"
"ENSG00000167526","RPL13","Canonical_RBPs","31"
"ENSG00000188846","RPL14","Canonical_RBPs","31"
"ENSG00000174748","RPL15","Canonical_RBPs","31"
"ENSG00000083845","RPS5","Canonical_RBPs","31"
"ENSG00000083312","TNPO1","Canonical_RBPs","31"
"ENSG00000060138","YBX3","Canonical_RBPs","31"
"ENSG00000105939","ZC3HAV1","Canonical_RBPs","31"
"ENSG00000168488","ATXN2L","Canonical_RBPs","30"
"ENSG00000130811","EIF3G","Canonical_RBPs","30"
"ENSG00000114867","EIF4G1","Canonical_RBPs","30"
"ENSG00000110321","EIF4G2","Canonical_RBPs","30"
"ENSG00000074800","ENO1","Non-canonical_RBPs","30"
